

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  MIN  AVG  FGM-FGA   PCT  3PM-3PA   PCT   FTM-FTA   PCT
C. Oakley     25   61   86   7.8    30   2.7   19   34-0   14   5    95   8.6
L. Odom       28   66   94   8.5    49   4.5   39   46-1   10  11   203  18.5
M. Okur        6   11   17   4.2     5   1.2    5    9-0    4   2    29   7.2
H. Olajuwon   45  150  195   8.9    58   2.6   62   57-0   26  51   357  16.2
D. Oliver      3    2    5   2.5     3   1.5    2    0-0    0   0     0   0.0
K. Ollie       5   33   38   3.2    38   3.2   20   23-0    5   2    59   4.9
M. Olowokandi 43   93  136   7.6    19   1.1   39   49-1    9  30   175   9.7
G. Ostertag   71  110  181   6.0    23   0.8   32   62-0    7  41   147   4.9
B. Outlaw     54  117  171   6.3    50   1.9   37   67-0   19  29   179   6.6
D. Overton     0   13   13   1.1    16   1.3    6   12-0    3   1    37   3.1
B. Owens      24   47   71   6.5    24   2.2   10   25-1    9   6    93   8.5
R. Owes        3    3    6   2.0     0   0.0    0    0-0    1   2     6   2.0
O. Oyedeji     1    9   10   2.5     0   0.0    2    5-0    3   0     7   1.8
Z. Pachulia    4    2    6   3.0     0   0.0    1    3-0    1   0     6   3.0
R. Pack       13   17   30   3.3    54   6.0   18   12-0   12   0   102  11.3
S. Padgett    12   37   49   4.1    10   0.8    4   21-0    0   3    98   8.2
M. Palacio     3    8   11   1.1    28   2.8   13   17-0    5   1    47   4.7
J. Pargo       0    6    6   1.2     4   0.8    6    6-0    1   1    13   2.6
R. Parish      0    3    3   1.0     2   0.7    1    2-0    1   0     6   2.0
A. Parker      0    2    2   2.0     1   1.0    1    2-0    1   0     5   5.0
S. Parker      0    1    1   1.0     4   4.0    3    3-0    2   0    16  16.0
T. Parker      3   21   24   2.2    43   3.9   26   38-2    9   3   154  14.0
C. Parks      23   46   69   4.1     6   0.4   13   38-0    9  11    65   3.8
A. Patterson   6    6   12   2.4     5   1.0    6   11-0    2   2    29   5.8
R. Patterson  49   47   96   5.1    22   1.2   34   42-0   24   6   223  11.7
A. Pavlovic    1    5    6   1.5     5   1.2    4   12-0    0   1    20   5.0
G. Payton     40  121  161   5.0   246   7.7   80   92-0   39  14   646  20.2
A. Peeler     16   68   84   2.7    73   2.4   34   57-0   35   6   320  10.3
M. Penberthy   1    4    5   1.2     3   0.8    3    1-0    3   0    20   5.0
K. Penney      0    1    1   1.0     1   1.0    3    1-0    1   0     3   3.0
W. Perdue     45   91  136   7.6     8   0.4   21   35-0    4  11    86   4.8
K. Perkins     1    2    3   3.0     0   0.0    0    0-0    0   0     2   2.0
S. Perkins    15   48   63   4.2    16   1.1   12   25-0    7  10   144   9.6
E. Perry       3   11   14   1.3    35   3.2   19   22-1   16   0    88   8.0
T. Perry       1    1    2   2.0     0   0.0    1    0-0    0   0     2   2.0
C. Person      3   28   31   3.9    12   1.5    9   16-0    5   3    51   6.4
W. Person     12   70   82   3.7    27   1.2   13   31-0   16  10   213   9.7
M. Peterson   12   21   33   4.1    17   2.1    7   16-0    7   0   112  14.0
B. Phills      9    8   17   4.2    14   3.5    9   15-1    5   2    42  10.5
E. Piatkowski 24   61   85   3.0    34   1.2   23   36-0   11   3   268   9.6
P. Pierce      8   52   60   6.0    25   2.5   29   34-0   19   9   196  19.6
R. Pierce      6    6   12   1.7     3   0.4    5    6-0    2   0    62   8.9
M. Pietrus     7    7   14   7.0     2   1.0    4    6-0    2   0    10   5.0
E. Pinckney    5    3    8   4.0     0   0.0    2    1-0    1   0     9   4.5
S. Pippen     36  114  150   6.0   132   5.3   67   59-0   31  14   341  13.6
Z. Planinic    0    0    0   0.0     0   0.0    0    0-0    0   0     1   1.0
S. Pollard    36   45   81   5.4     7   0.5    6   17-0    3   9    68   4.5
O. Polynice   69  109  178   8.5    23   1.1   28   53-0   16  19   197   9.4
M. Pope        2    4    6   2.0     2   0.7    2    6-0    2   4    11   3.7
C. Porter      3    2    5   1.7     1   0.3    1    5-0    1   0    27   9.0
T. Porter     10   62   72   3.3    89   4.0   29   40-1   21   6   209   9.5
J. Posey      23   64   87   4.6    28   1.5   31   66-3   21   6   203  10.7
L. Postell     2    1    3   1.0     1   0.3    2    1-0    0   0    11   3.7
V. Potapenko  25   34   59   4.2     8   0.6   21   33-0    3   4   124   8.9
B. Price       4   12   16   1.3    28   2.3   14   21-0    7   0    68   5.7
M. Price       1   11   12   3.0    23   5.8    7    5-0    8   0    54  13.5
T. Prince      1   10   11   2.8     8   2.0    2    3-0    1   5    38   9.5
L. Profit      0    3    3   3.0     2   2.0    1    2-0    0   1     9   9.0
J. Przybilla   1    1    2   2.0     1   1.0    1    2-0    0   0     2   2.0
D. Radja       6   25   31  10.3     6   2.0   10   11-1    2   6    68  22.7
V. Radmanovic 13   23   36   5.1     9   1.3    3   27-1    8   2    58   8.3
I. Rakocevic   0    0    0   0.0     5   1.7    3    2-0    0   0     7   2.3
Z. Randolph   26   47   73   7.3    23   2.3   26   26-0    9   3   133  13.3
T. Ratliff    32   55   87   6.7    10   0.8   14   32-1    9  31   129   9.9
Z. Rebraca     8   16   24   6.0     3   0.8    6    8-0    1   3    28   7.0
E. Recasner    4   20   24   3.0     7   0.9    7    6-0    3   2    52   6.5
M. Redd        6   32   38   6.3    13   2.2    5    9-0    3   4   103  17.2
B. Reeves     46   79  125   6.0    32   1.5   48   59-0   10  14   239  11.4
K. Reeves      1    4    5   1.7     8   2.7    5    9-0    0   0    29   9.7
D. Reid        7   24   31   3.4     2   0.2    5   18-0    3   8    47   5.2
J. Reid        9   15   24   3.4     5   0.7    7   19-0    3   2    58   8.3
E. Rentzias    0    1    1   1.0     0   0.0    0    0-0    1   0     2   2.0
S. Respert     3    2    5   1.2     4   1.0    4    4-0    4   0    22   5.5
R. Rhodes      4    6   10   1.7     6   1.0   12   11-0    5   1    26   4.3
G. Rice       15   69   84   4.4    43   2.3   25   45-0    8   6   305  16.1
J. Richardson 20   44   64   5.8    27   2.5   23   28-0   12   3   209  19.0
N. Richardson  0    0    0   0.0     0   0.0    0    0-0    0   0     0   0.0
P. Richardson  4   14   18   1.6    46   4.2    9   21-0    9   4    94   8.5
Q. Richardson 29   51   80   6.2    25   1.9   20   14-0   12   3   201  15.5
M. Richmond   16   47   63   3.7    52   3.1   30   44-0   22   4   314  18.5
I. Rider      30   68   98   4.7    63   3.0   35   53-0   15   9   386  18.4
L. Ridnour     1    5    6   1.5    20   5.0    3    6-0    1   0    25   6.2
E. Riley       1    5    6   6.0     0   0.0    2    4-0    1   2     2   2.0
D. Rivers      3    5    8   2.0     4   1.0    5   11-0    4   2    19   4.8
F. Roberts     2    0    2   1.0     0   0.0    1    3-0    2   0     9   4.5
S. Roberts    17   29   46   4.6     8   0.8   16   27-1    4   8    80   8.0
A. Robertson   4    8   12   6.0     7   3.5    4    8-0    7   0    22  11.0
C. Robinson   53  109  162   5.1    84   2.6   66   84-1   35  31   553  17.3
C. Robinson    0    4    4   1.0     8   2.0    1   10-0    5   1    46  11.5
D. Robinson   81  178  259  10.0    52   2.0   58   50-0   24  45   471  18.1
E. Robinson    7   10   17   3.4     6   1.2    5    8-0    2   0    33   6.6
G. Robinson   22   83  105   7.0    42   2.8   55   39-0   13  10   288  19.2
J. Robinson    6   25   31   2.1    31   2.1   17   34-0    6   6   141   9.4
L. Robinson    0    0    0   0.0     0   0.0    0    0-0    0   0     0   0.0
R. Robinson    0   10   10   1.4    21   3.0    6   11-0    5   0    21   3.0
D. Rodman     42   77  119  19.8    20   3.3   16   18-0    0   4    23   3.8
L. Roe         0    0    0   0.0     0   0.0    0    0-0    0   0     0   0.0
C. Rogers     20   22   42   5.2     5   0.6   11   15-0    3   5    42   5.2
R. Rogers     57  136  193   6.4    76   2.5   53  101-1   36  15   348  11.6
R. Rogers      8    9   17   3.4     1   0.2    8   11-0    1   9    33   6.6
S. Rooks      16   34   50   2.3    20   0.9   18   37-0    3  16    82   3.7
J. Rose       13   67   80   4.4    57   3.2   43   50-1   13   9   279  15.5
M. Rose       64   85  149   6.2    22   0.9   36   51-0   17   6   223   9.3
D. Royal       7    7   14   3.5     3   0.8    0    4-0    2   1    16   4.0
C. Rozier      4   12   16   4.0     3   0.8    4    9-0    3   1    14   3.5
M. Ruffin     11   14   25   5.0     7   1.4    7   10-0    3   0    15   3.0
T. Ruffin      0    6    6   6.0     7   7.0    2    3-0    0   1    21  21.0
K. Rush        2   10   12   1.5     5   0.6    4   10-0    2   5    42   5.2
B. Russell    26  114  140   4.4    36   1.1   34   73-0   44  16   304   9.5
A. Sabonis    35  123  158   8.3    30   1.6   28   35-0   14  22   264  13.9
J. Salley      0    1    1   0.5     0   0.0    0    0-0    0   0     0   0.0
J. Salmons     1    4    5   1.2    14   3.5    7    5-0    5   0    29   7.2
K. Salvadori   1    5    6   6.0     0   0.0    0    3-0    0   0     0   0.0
S. Samake      0    0    0   0.0     0   0.0    0    0-0    0   0     6   3.0
P. Sanchez     0    1    1   1.0     1   1.0    0    1-0    0   0     2   2.0
D. Santiago    1    4    5   5.0     0   0.0    3    2-0    2   0     9   9.0
J. Sasser      0    1    1   1.0     0   0.0    0    0-0    0   0     0   0.0
J. Sasser      2    8   10   5.0     3   1.5    1    5-0    1   1     3   1.5
K. Satterfiel  2    0    2   1.0     2   1.0    1    1-0    0   0     3   1.5
P. Savovic     1    0    1   1.0     0   0.0    1    0-0    0   0     5   5.0
B. Scalabrine  0    4    4   1.3     3   1.0    2    7-0    1   0    10   3.3
D. Schayes    12   12   24   6.0     1   0.2    3   12-0    0   2    14   3.5
S. Scheffler   1    1    2   0.5     0   0.0    0    0-0    0   0     8   2.0
D. Schrempf   30   89  119   7.0    55   3.2   29   50-0    9   5   228  13.4
B. Scott       0    1    1   1.0     0   0.0    0    1-0    0   1     2   2.0
B. Scott       2   14   16   2.0    14   1.8    5   14-0    5   2    77   9.6
D. Scott       7   22   29   2.6    19   1.7   12   18-0    8   5   114  10.4
J. Scott       1    1    2   2.0     1   1.0    0    0-0    0   0     0   0.0
M. Sealy      14   35   49   3.5    27   1.9   17   35-0   18   8   158  11.3
R. Seikaly    17   32   49   9.8     7   1.4   17   19-0    2   6    77  15.4
A. Sesay       7   14   21   3.5     4   0.7    2    6-0    3   3    42   7.0
B. Shaw        7   46   53   2.8    58   3.1   21   28-1    7   4    93   4.9
B. Simmons     7   10   17   3.4    11   2.2    6   16-1    3   2    36   7.2
L. Simmons     3   11   14   3.5     9   2.2    3   10-0    3   2    21   5.2
D. Simpkins   12   19   31   4.4    10   1.4   12    6-0    1   1    38   5.4
B. Skinner    13   25   38   3.5     5   0.5    8   19-0    4   3    59   5.4
R. Slater      8   11   19   2.7     4   0.6    5   12-0    1   0    35   5.0
T. Slay        0    0    0   0.0     0   0.0    0    0-0    0   0     0   0.0
C. Smith       5   21   26   2.6     8   0.8   10   15-0    5   1    49   4.9
D. Smith       0    1    1   1.0     0   0.0    3    2-0    0   0     0   0.0
J. Smith       0    0    0   0.0     0   0.0    0    0-0    0   1     2   1.0
J. Smith      91  128  219   9.1    27   1.1   42   76-1   26  18   377  15.7
K. Smith       0    6    6   1.0    26   4.3    9    9-0    3   0    52   8.7
M. Smith      40   58   98   7.0    24   1.7   21   26-0   13   7    64   4.6
S. Smith      27   53   80   3.6    60   2.7   24   58-0   15   7   286  13.0
T. Smith       4    8   12   2.4     7   1.4    5    6-0    5   2    22   4.4
R. Smits       7   22   29   5.8     3   0.6   16   16-0    2   8    70  14.0
E. Snow        7   37   44   3.7    70   5.8   26   27-0   16   3    77   6.4
W. Solomon     1    4    5   2.5     4   2.0    3    2-0    1   0    14   7.0
D. Songaila   10    6   16   4.0     2   0.5    5   11-0    4   0    25   6.2
E. Spencer     0    1    1   0.3     0   0.0    1    3-0    0   0     4   1.3
F. Spencer    32   38   70   5.0     4   0.3   18   37-0    6  10    66   4.7
L. Sprewell   19   89  108   5.1   102   4.9   74   31-0   35  11   436  20.8
J. Stackhouse 26   67   93   5.8    77   4.8   37   41-0   19  11   362  22.6
J. Starks     10   46   56   3.3    53   3.1   23   40-0   18   3   195  11.5
V. Stepania   14   39   53   4.8     2   0.2   12   21-0    5   4    52   4.7
D. Stevenson  12   27   39   3.5    13   1.2   21   16-0    3   6    91   8.3
L. Stewart     0    0    0   0.0     0   0.0    2    3-0    1   1     2   0.7
M. Stewart     7    7   14   2.0     2   0.3    3   13-0    1   5    12   1.7
B. Stith      20   51   71   3.9    41   2.3   24   32-0   14   4   187  10.4
J. Stockton   14   79   93   3.1   259   8.6   77   71-0   53  11   403  13.4
P. Stojakovic 26  108  134   5.8    37   1.6   41   36-0   23   3   429  18.7
D. Stoudamire 28   92  120   3.9   197   6.4   66   58-0   36   4   409  13.2
A. Stoudemire 25   33   58   7.2    12   1.5   25   24-0    6  14   115  14.4
E. Strickland  1   11   12   2.0    15   2.5    9    8-0    4   0    44   7.3
M. Strickland  9   29   38   3.5     5   0.5    6   13-0    1   4    61   5.5
R. Strickland 20   36   56   4.0   110   7.9   41   17-0   17   4   192  13.7
D. Strong      9   28   37   5.3     4   0.6   12   15-0    4   2    61   8.7
B. Sundov      1    7    8   4.0     0   0.0    0    3-0    0   2     4   2.0
B. Sura       22   52   74   4.1    71   3.9   36   41-0   20   6   181  10.1
M. Sweetney    0    1    1   1.0     0   0.0    0    1-0    0   0     0   0.0
S. Swift      15   53   68   4.5     8   0.5   15   28-0    9  16   119   7.9
B. Szabo       0    1    1   0.5     1   0.5    1    3-0    0   1     1   0.5
W. Szczerbiak 21   53   74   4.6    52   3.2   25   43-0   12   6   283  17.7
Z. Tabak      17   32   49   9.8     7   1.4   14   19-0    3   4    54  10.8
D. Tarlac      3    5    8   4.0     0   0.0    6    5-0    1   0     5   2.5
J. Taylor      1    4    5   2.5     2   1.0    0    2-0    2   1    11   5.5
M. Taylor     51   65  116   5.8    32   1.6   53   56-2    7  10   229  11.4
J. Terry       7   28   35   3.9    52   5.8   22   24-0   18   1   172  19.1
C. Thomas      0    0    0   0.0     0   0.0    0    0-0    0   0     0   0.0
E. Thomas      1    1    2   1.0     0   0.0    0    2-0    1   1     4   2.0
J. Thomas      0    0    0   0.0     1   1.0    3    1-0    1   0     0   0.0
J. Thomas      3    2    5   5.0     0   0.0    2    3-0    1   0     6   6.0
K. Thomas     29   53   82   6.8    21   1.8   21   37-1    9   2   117   9.8
K. Thomas     32   59   91   7.0    11   0.8   16   43-0    7   7   163  12.5
T. Thomas     11   37   48   4.4    12   1.1   19   33-2    6   7   166  15.1
B. Thompson    0    2    2   0.5     2   0.5    3    4-0    1   0    15   3.8
L. Thompson    0    0    0   0.0     0   0.0    1    1-0    1   2     0   0.0
O. Thorpe     26   66   92   9.2    22   2.2   21   32-0    7   6   125  12.5
S. Threatt     2    6    8   1.6    13   2.6    4   10-0    5   1    25   5.0
J. Tinsley     4   28   32   5.3    74  12.3   18   25-0    7   6    73  12.2
W. Tisdale    14   22   36   4.5     9   1.1   11   23-0    4   9    98  12.2
O. Torres      1    4    5   1.2     1   0.2    4    1-0    1   1     6   1.5
K. Tower       2    3    5   1.7     1   0.3    0    3-0    0   2     3   1.0
R. Traylor     6    6   12   1.5     8   1.0   10   16-0    5   2    30   3.8
G. Trent      35   54   89   4.7    27   1.4   25   44-0    3   5   184   9.7
J. Trepagnier  0    1    1   0.5     1   0.5    2    1-0    1   0     2   1.0
C. Trybanski   0    1    1   0.5     0   0.0    1    2-0    0   0     0   0.0
J. Tsakalidis  5   15   20   2.9     2   0.3    8   17-0    0   5    60   8.6
N. Tskitishvi  8    3   11   2.2     4   0.8    9   12-0    1   2    33   6.6
M. Turkcan     1    3    4   4.0     0   0.0    0    3-0    1   0     2   2.0
H. Turkoglu    7   41   48   3.4    26   1.9    8   34-0   10   3   137   9.8
J. Turner      2    3    5   5.0     1   1.0    3    1-0    0   0     5   5.0
I. Udoka       0    1    1   1.0     0   0.0    1    3-0    2   1     4   4.0
N. Van_Exel    7   70   77   3.2   182   7.6   46   38-0   19   5   381  15.9
K. Van_Horn   24   56   80   8.0    16   1.6   19   43-2    6   5   167  16.7
D. Vaughn      6   12   18   3.6     2   0.4    2   12-0    2   0    14   2.8
J. Vaughn      3   19   22   1.4    39   2.4   13   31-0   10   0    92   5.8
L. Vaught     19   78   97  12.1     8   1.0   18   27-0    6   3   115  14.4
V. Velden      0    0    0   0.0     0   0.0    0    0-0    0   0     2   2.0
F. Vinson      0    0    0   0.0     0   0.0    1    1-0    2   0     7   3.5
J. Voskuhl     8   19   27   3.4     4   0.5    8   22-0    1   1    26   3.2
S. Vrankovic   3   10   13   4.3     2   0.7    3    6-0    0   7    14   4.7
D. Wade        0    2    2   2.0     7   7.0    4    3-0    4   0    24  24.0
D. Wagner      1    2    3   1.5     2   1.0    1    6-0    2   1     8   4.0
A. Walker     33   71  104   8.7    50   4.2   35   31-0   20   7   200  16.7
S. Walker     16   41   57   3.8    10   0.7   12   27-0    3   9    61   4.1
B. Wallace    38   90  128  10.7    13   1.1   18   20-0    7  26    80   6.7
G. Wallace     6    8   14   2.3     2   0.3    2    7-0    0   3    26   4.3
J. Wallace     9   14   23   2.9     7   0.9    8   18-0    5   1    74   9.2
R. Wallace    49  127  176   5.9    69   2.3   48   82-0   33  23   513  17.1
R. Walters     1    4    5   0.8     6   1.0    2    5-0    0   0    19   3.2
L. Walton      4    5    9   3.0     4   1.3    3    4-0    1   0     7   2.3
C. Ward        2   33   35   2.5    56   4.0   26   31-1   15   3    71   5.1
E. Washington  0    5    5   1.2     6   1.5    2    6-0    3   2    22   5.5
E. Watson      3   19   22   2.0    41   3.7   14   18-0   19   2    60   5.5
C. Weatherspo 45  103  148   8.2    26   1.4   32   34-0   13  16   148   8.2
S. Webb        1    3    4   1.0    10   2.5    4    5-0    2   2    20   5.0
C. Webber     55  195  250  11.4   102   4.6   62   73-1   24  35   474  21.5
B. Wells      32   73  105   5.5    51   2.7   40   55-0   23   8   258  13.6
J. Welsch      2    5    7   1.4     3   0.6    2    7-0    3   1    30   6.0
B. Wennington  2    5    7   1.0     0   0.0    5   10-0    0   2    22   3.1
D. Wesley     10   21   31   2.6    51   4.2   26   36-1   14   2   220  18.3
D. West        1    5    6   3.0     0   0.0    3    4-0    1   0    10   5.0
D. West       11   18   29   2.6    15   1.4    7   35-2    5   7    47   4.3
M. West        3    4    7   1.8     1   0.2    1    2-0    0   2     4   1.0
D. Wheat       2    0    2   0.7     6   2.0    1    2-0    1   0    14   4.7
J. White      23   28   51   8.5     1   0.2   11   14-0    2   5    54   9.0
R. White       3   26   29   3.6    22   2.8   15   13-0    5   3    95  11.9
D. Whiteside   0    0    0   0.0     3   3.0    0    0-0    0   0     0   0.0
C. Whitney     3   22   25   1.7    43   2.9   12   27-2    5   2   117   7.8
C. Wilcox     10   16   26   4.3     6   1.0    3   13-1    4   4    57   9.5
D. Wilkins     9   18   27   5.4     3   0.6    9    6-0    3   0    91  18.2
G. Wilkins     2    8   10   2.0    13   2.6    7    6-0    4   3    51  10.2
M. Wilks       2    6    8   2.0     8   2.0    2    3-0    2   1    17   4.2
A. Williams   17   27   44   2.9    12   0.8   17   31-1    6  12    71   4.7
A. Williams    5   15   20   2.0    40   4.0   12   18-0   12   2    99   9.9
B. Williams   10   20   30   7.5     7   1.8   10   12-0    5   2    74  18.5
B. Williams   21   31   52   6.5     9   1.1    8   18-0    5   2    74   9.2
E. Williams   14   36   50   3.6    16   1.1   17   30-0    6   1   113   8.1
F. Williams    0    0    0   0.0     2   1.0    0    0-0    0   0     7   3.5
H. Williams    4    6   10   5.0     3   1.5    3    4-0    1   0    12   6.0
J. Williams    7   52   59   2.6   142   6.2   58   42-0   32   2   277  12.0
J. Williams    1    5    6   3.0     8   4.0    9    3-0    3   0    18   9.0
J. Williams   35   41   76  12.7     6   1.0   10   17-0    4   4    63  10.5
J. Williams   35   42   77   6.4     9   0.8    8   31-0   13   5    87   7.2
J. Williams   20   40   60   5.5     4   0.4    6   23-1    3  15    59   5.4
L. Williams    2    3    5   5.0     1   1.0    0    0-0    0   2     2   2.0
M. Williams    1    3    4   1.0     9   2.2    1    4-0    0   0    26   6.5
M. Williams   22   33   55   3.7    23   1.5   21   36-0    6   4   101   6.7
R. Williams    0    9    9   2.2     1   0.2    1   13-0    0   2    27   6.8
S. Williams    1   14   15   1.4    36   3.3   13   15-0    2   0    57   5.2
S. Williams   15   37   52   4.7     4   0.4    8   28-0    5   5    37   3.4
T. Williams    0    3    3   3.0     1   1.0    0    1-0    0   0     0   0.0
W. Williams   22   55   77   3.8    39   2.0   26   67-3   17  15   240  12.0
C. Williamson 45   73  118   4.9    34   1.4   50   65-0   18   9   314  13.1
K. Willis     55  120  175   7.0    21   0.8   36   54-0    8  13   261  10.4
D. Willoughby  1    5    6   3.0     7   3.5    2    3-0    1   1    24  12.0
D. Wingate     2    6    8   0.9    14   1.6    5   12-0    5   0    54   6.0
D. Wingfield   7    7   14   2.8     1   0.2    5   11-1    3   0    34   6.8
J. Wolf        5   10   15   3.0     4   0.8    1   14-1    2   1    20   4.0
R. Wolkowyski  3    7   10   3.3     1   0.3    3    6-0    0   0    13   4.3
D. Wood        2    4    6   2.0     0   0.0    0    4-0    0   0     3   1.0
L. Woods       0    4    4   2.0     0   0.0    1    1-0    1   0     0   0.0
Q. Woods       5    8   13   1.9     3   0.4    8    7-0    1   0    19   2.7
H. Workman     1    1    2   0.7     4   1.3    3    2-0    0   0     7   2.3
L. Wright     53  101  154   7.0    18   0.8   30   59-0    6  20   174   7.9
S. Wright      9   11   20   5.0     3   0.8   14    6-0    3   7    46  11.5
V. Yarbrough   3   15   18   6.0     9   3.0   13   12-0    4   3    20   6.7
W. Zhizhi      1    6    7   2.3     2   0.7    1    4-0    0   1    15   5.0
G. Zidek       1    1    2   1.0     0   0.0    1    1-0    0   0     6   3.0
Team           0    0    0   0.0     0   0.0    0    0-120   0   0     0   0.0
Mavs           0    0    0   0.0     0   0.0    0    0-0    0   0     0   0.0


Game Highs for career
Player          MIN FGM FGA 3PM 3PA FTM FTA PTS OFF DEF REB AST  TO  F STL BLK
M. Abdul-Rauf    44  13  23   8  11   6   7  39   2   5   6  11   3  3   2   0
T. Abdul-Wahad   37   7  12   0   3   4   6  16   3   4   6   4   4  6   6   1
S. Abdur-Rahim   48  14  27   2   4  11  14  36   8  14  22   7   5  5   3   3
Michael Adams    22   4   5   1   2   1   2  10   1   1   2   4   1  2   2   0
Rafael Addison   24   6  11   1   1   4   5  16   1   3   4   3   4  5   0   2
C. Alexander     31   7  10   1   1   4   4  18   2   3   4   3   1  2   1   0
Cory Alexander   36   7  12   3   5   4   6  17   1   9  10   6   5  4   3   1
Jerome Allen     16   3   8   2   3   0   0   8   0   1   1   1   4  4   1   1
Malik Allen      35   4  11   0   0   3   4  11   4   6  10   1   2  4   0   2
Ray Allen        47  11  28   5  12  11  11  35   5   7   9   7   5  4   4   2
Derrick Alston   12   1   5   0   0   1   2   3   2   5   7   0   0  1   0   0
Rafer Alston     40   7  15   5  10   1   2  20   1   4   5   4   3  5   2   0
John Amaechi     20   2   6   0   0   2   4   4   3   3   4   1   3  2   0   1
Ashraf Amaya     19   8   9   0   0   2   4  18   2   4   5   1   2  2   1   0
Chris Andersen   21   2   5   0   0   3   4   5   3   6   8   2   2  4   1   2
Derek Anderson   44  11  22   5   8  11  12  35   3   7   7   8   4  5   3   1
Greg Anderson    25   4   8   0   1   2   3  10   4   4   6   2   2  4   1   2
Kenny Anderson   46   9  19   4   9  12  12  28   2   7   8  15   6  4   5   2
Nick Anderson    38   8  20   5   7   4   6  18   3   6   6   5   4  4   6   2
S. Anderson      45   8  16   2   5   5   7  22   4   8  10   7   4  5   5   2
Willie Anderson  31   2   6   0   1   0   0   4   2   5   7   3   4  2   5   0
Chris Anstey     21   3  11   0   1   5   5  11   7   8  15   2   1  5   2   1
Carmelo Anthony  41   9  20   2   6   7   8  26   5   8  12   5   5  5   5   3
Greg Anthony     42   9  17   4   8   7   8  23   2   6   6  10   6  5   3   1
Gilbert Arenas   43  12  25   4  11   6   7  29   4  10  12  11   5  6   5   1
B. Armstrong     11   1   1   0   0   0   0   2   0   0   0   0   0  0   0   0
B.J. Armstrong   42   7  13   4   6   4   4  19   0   5   5   9   5  3   2   0
D. Armstrong     47  12  21   6  11   7  10  33   3   4   6  14   5  6   5   1
Carlos Arroyo    36   6  11   2   5   3   4  12   1   3   3   6   3  4   2   0
Ron Artest       43  10  24   2   7  10  12  29   4   8  11   6   6  6   8   3
Vincent Askew    40   5  16   2   4   2   2  14   5   5   8   8   2  5   2   1
Keith Askins     22   4   6   3   4   4   4  11   2   4   6   3   1  4   2   0
Chucky Atkins    37   8  15   5   8   3   3  19   1   4   4   7   5  4   1   0
Stacey Augmon    42   7  15   0   1   6   6  18   5   5   8   4   3  5   3   2
Stacy Augmon     27   4   8   0   0   2   2  10   2   1   3   1   2  0   0   0
Isaac Austin     39   8  16   0   1   3   3  16   2  10  10   6   7  3   1   1
Anthony Avent    34   5  12   0   0   3   6  13   6   9  15   1   5  5   1   1
William Avery    23   2  11   1   5   2   2   7   1   2   2   8   2  4   1   0
Dalibor Bagaric  11   3   4   0   1   2   4   8   0   2   2   1   2  2   2   3
Thurl Bailey     22   1   5   0   0   4   4   6   3   3   6   2   3  4   0   1
Toby Bailey      14   3   4   0   0   2   2   8   1   3   4   1   0  3   0   0
Vin Baker        45  14  22   0   1   8  11  36   7   9  14   6   6  5   2   3
Marcus Banks     11   2   5   0   0   4   4   8   0   1   1   3   0  0   1   0
Leandro Barbosa  32   6  15   4   8   1   1  17   1   2   3   4   3  6   1   0
Charles Barkley  47  10  20   3   5   8  11  29  10  13  18   6   6  5   2   2
Erick Barkley     4   2   4   0   1   0   0   4   0   0   0   0   0  1   1   0
Matt Barnes       9   0   1   0   0   1   2   1   1   3   4   0   0  0   0   0
Dana Barros      47   8  11   4   6   2   2  21   0   7   7   6   4  6   4   1
Brent Barry      42   9  20   4  11   8   8  21   2   8   8   8   5  5   5   3
Drew Barry       24   1   6   1   3   2   3   5   0   3   3   2   1  3   1   0
Jon Barry        30   7  11   3   6   5   6  20   3   5   7   6   4  4   2   0
Mengke Bateer    11   1   5   0   0   0   0   2   0   1   1   1   3  3   0   0
Mike Batiste     23   4  11   0   1   5   6  10   2   3   5   1   4  3   3   1
Tony Battie      33   8  14   0   1   3   7  19   6   8  11   2   4  4   2   4
Shane Battier    42   6  14   3   5   6   7  18   5   8   9   5   4  5   4   3
Lonny Baxter     14   5   6   0   0   2   2  10   3   7  10   1   2  6   0   1
Lonny Baxtor     18   5   8   0   0   0   4  10   4   6  10   0   2  1   0   0
Corey Beck       25   1   4   0   0   2   2   2   1   3   3   3   3  5   0   0
Raja Bell        34   8  16   4   5   5   6  25   2   5   6   7   2  5   2   0
Jonathan Bender  15   4   8   0   2   3   6  11   2   2   3   2   1  5   1   1
Benoit Benjamin  34   7  15   0   0   8  10  16   2   7   7   3   4  3   1   3
Corey Benjamin   19   6  10   2   4   2   4  16   1   2   3   2   1  4   1   0
Mario Bennett     7   2   3   0   1   2   2   4   1   2   2   1   0  1   0   0
David Benoit     37   9  14   5   6   2   2  24   2   4   6   1   3  6   2   3
Travis Best      45  12  20   4   6   7   8  30   1  10  11   8   4  6   4   1
Mike Bibby       44  11  21   4   9   9  10  27   2   9  11  11   8  6   7   1
C. Billups       41  10  23   7  12  10  12  36   2   3   4  17   4  4   2   2
Steve Blake      25   2   8   1   5   3   4   8   0   1   1   4   3  1   3   1
Mookie Blaylock  45  10  22   7  10   3   4  27   3   9  10   8   4  3   4   0
