

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  MIN  AVG  FGM-FGA   PCT  3PM-3PA   PCT   FTM-FTA   PCT
Charles Oakley  11  366 33.3   36-84   0.429   0-6    0.000   23-27   0.852
Lamar Odom      11  403 36.6   75-148  0.507   5-16   0.312   48-77   0.623
Mehmet Okur      4   75 18.8   11-23   0.478   1-1    1.000    6-7    0.857
Hakeem Olajuwon 22  674 30.6  144-296  0.486   0-2    0.000   69-101  0.683
Dean Oliver      2    9  4.5    0-2    0.000   0-0    0.000    0-0    0.000
Kevin Ollie     12  231 19.2   20-54   0.370   0-0    0.000   19-25   0.760
M. Olowokandi   18  544 30.2   75-169  0.444   0-0    0.000   25-40   0.625
Greg Ostertag   30  606 20.2   53-131  0.405   0-2    0.000   41-70   0.586
Bo Outlaw       27  651 24.1   75-121  0.620   0-3    0.000   29-56   0.518
Doug Overton    12  126 10.5   13-35   0.371   3-6    0.500    8-10   0.800
Billy Owens     11  293 26.6   40-94   0.426   3-6    0.500   10-15   0.667
Ray Owes         3   27  9.0    3-8    0.375   0-1    0.000    0-3    0.000
Olumide Oyedeji  4   29  7.2    3-6    0.500   0-0    0.000    1-4    0.250
Zaza Pachulia    2   14  7.0    2-6    0.333   0-0    0.000    2-4    0.500
Robert Pack      9  199 22.1   36-80   0.450   5-10   0.500   25-28   0.893
Scott Padgett   12  216 18.0   39-81   0.481  11-30   0.367    9-11   0.818
Milt Palacio    10  158 15.8   18-51   0.353   4-9    0.444    7-12   0.583
Jannero Pargo    5   53 10.6    6-15   0.400   1-4    0.250    0-0    0.000
Robert Parish    3   18  6.0    2-4    0.500   0-0    0.000    2-4    0.500
Anthony Parker   1   21 21.0    2-9    0.222   1-4    0.250    0-0    0.000
Smush Parker     1   21 21.0    5-11   0.455   2-5    0.400    4-4    1.000
Tony Parker     11  334 30.4   59-134  0.440  11-33   0.333   25-35   0.714
Cherokee Parks  17  284 16.7   25-60   0.417   0-1    0.000   15-22   0.682
A. Patterson     5   57 11.4   10-18   0.556   0-1    0.000    9-13   0.692
Ruben Patterson 19  466 24.5   87-165  0.527   5-17   0.294   47-66   0.712
A. Pavlovic      4   63 15.8    6-21   0.286   2-6    0.333    6-6    1.000
Gary Payton     32 1226 38.3  265-567  0.467  35-130  0.269   81-106  0.764
Anthony Peeler  31  810 26.1  128-280  0.457  40-106  0.377   24-33   0.727
Mike Penberthy   4   42 10.5    7-14   0.500   5-9    0.556    1-1    1.000
Kirk Penney      1   14 14.0    1-6    0.167   1-3    0.333    0-0    0.000
Will Perdue     18  366 20.3   35-70   0.500   0-0    0.000   16-34   0.471
K. Perkins       1    2  2.0    1-1    1.000   0-0    0.000    0-0    0.000
