

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  PTS  AVG  REB  AVG  AST  AVG
Kenny Thomas    12  117  9.8   82  6.8   21  1.8
Kurt Thomas     13  163 12.5   91  7.0   11  0.8
Tim Thomas      11  166 15.1   48  4.4   12  1.1
Brooks Thompson  4   15  3.8    2  0.5    2  0.5
L. Thompson      1    0  0.0    0  0.0    0  0.0
Otis Thorpe     10  125 12.5   92  9.2   22  2.2
Sedale Threatt   5   25  5.0    8  1.6   13  2.6
Jamaal Tinsley   6   73 12.2   32  5.3   74 12.3
Wayman Tisdale   8   98 12.2   36  4.5    9  1.1
Oscar Torres     4    6  1.5    5  1.2    1  0.2
Keith Tower      3    3  1.0    5  1.7    1  0.3
Robert Traylor   8   30  3.8   12  1.5    8  1.0
Gary Trent      19  184  9.7   89  4.7   27  1.4
Jeff Trepagnier  2    2  1.0    1  0.5    1  0.5
C. Trybanski     2    0  0.0    1  0.5    0  0.0
Jake Tsakalidis  7   60  8.6   20  2.9    2  0.3
N. Tskitishvili  5   33  6.6   11  2.2    4  0.8
Mirsad Turkcan   1    2  2.0    4  4.0    0  0.0
H. Turkoglu     14  137  9.8   48  3.4   26  1.9
Jeff Turner      1    5  5.0    5  5.0    1  1.0
Ime Udoka        1    4  4.0    1  1.0    0  0.0
Nick Van_Exel   24  381 15.9   77  3.2  182  7.6
Keith Van_Horn  10  167 16.7   80  8.0   16  1.6
David Vaughn     5   14  2.8   18  3.6    2  0.4
Jacque Vaughn   16   92  5.8   22  1.4   39  2.4
Loy Vaught       8  115 14.4   97 12.1    8  1.0
Vander Velden    1    2  2.0    0  0.0    0  0.0
Fred Vinson      2    7  3.5    0  0.0    0  0.0
Jake Voskuhl     8   26  3.2   27  3.4    4  0.5
S. Vrankovic     3   14  4.7   13  4.3    2  0.7
Dwyane Wade      1   24 24.0    2  2.0    7  7.0
Dajuan Wagner    2    8  4.0    3  1.5    2  1.0
Antoine Walker  12  200 16.7  104  8.7   50  4.2
Samaki Walker   15   61  4.1   57  3.8   10  0.7
Ben Wallace     12   80  6.7  128 10.7   13  1.1
Gerald Wallace   6   26  4.3   14  2.3    2  0.3
John Wallace     8   74  9.2   23  2.9    7  0.9
Rasheed Wallace 30  513 17.1  176  5.9   69  2.3
Rex Walters      6   19  3.2    5  0.8    6  1.0
Luke Walton      3    7  2.3    9  3.0    4  1.3
Charlie Ward    14   71  5.1   35  2.5   56  4.0
Eric Washington  4   22  5.5    5  1.2    6  1.5
Earl Watson     11   60  5.5   22  2.0   41  3.7
C. Weatherspoon 18  148  8.2  148  8.2   26  1.4
Spud Webb        4   20  5.0    4  1.0   10  2.5
Chris Webber    22  474 21.5  250 11.4  102  4.6
Bonzi Wells     19  258 13.6  105  5.5   51  2.7
Jiri Welsch      5   30  6.0    7  1.4    3  0.6
Bill Wennington  7   22  3.1    7  1.0    0  0.0
David Wesley    12  220 18.3   31  2.6   51  4.2
David West       2   10  5.0    6  3.0    0  0.0
Doug West       11   47  4.3   29  2.6   15  1.4
Mark West        4    4  1.0    7  1.8    1  0.2
DeJuan Wheat     3   14  4.7    2  0.7    6  2.0
Jahidi White     6   54  9.0   51  8.5    1  0.2
Rodney White     8   95 11.9   29  3.6   22  2.8
D. Whiteside     1    0  0.0    0  0.0    3  3.0
Chris Whitney   15  117  7.8   25  1.7   43  2.9
Chris Wilcox     6   57  9.5   26  4.3    6  1.0
D. Wilkins       5   91 18.2   27  5.4    3  0.6
Gerald Wilkins   5   51 10.2   10  2.0   13  2.6
Mike Wilks       4   17  4.2    8  2.0    8  2.0
Aaron Williams  15   71  4.7   44  2.9   12  0.8
Alvin Williams  10   99  9.9   20  2.0   40  4.0
Brian Williams   4   74 18.5   30  7.5    7  1.8
Buck Williams    8   74  9.2   52  6.5    9  1.1
Eric Williams   14  113  8.1   50  3.6   16  1.1
Frank Williams   2    7  3.5    0  0.0    2  1.0
Herb Williams    2   12  6.0   10  5.0    3  1.5
Jason Williams  23  277 12.0   59  2.6  142  6.2
Jay Williams     2   18  9.0    6  3.0    8  4.0
Jayson Williams  6   63 10.5   76 12.7    6  1.0
Jerome Williams 12   87  7.2   77  6.4    9  0.8
John Williams   11   59  5.4   60  5.5    4  0.4
L. Williams      1    2  2.0    5  5.0    1  1.0
M. Williams      4   26  6.5    4  1.0    9  2.2
Monty Williams  15  101  6.7   55  3.7   23  1.5
Reggie Williams  4   27  6.8    9  2.2    1  0.2
S. Williams     11   57  5.2   15  1.4   36  3.3
Scott Williams  11   37  3.4   52  4.7    4  0.4
Travis Williams  1    0  0.0    3  3.0    1  1.0
Walt Williams   20  240 12.0   77  3.8   39  2.0
C. Williamson   24  314 13.1  118  4.9   34  1.4
Kevin Willis    25  261 10.4  175  7.0   21  0.8
D. Willoughby    2   24 12.0    6  3.0    7  3.5
David Wingate    9   54  6.0    8  0.9   14  1.6
D. Wingfield     5   34  6.8   14  2.8    1  0.2
Joe Wolf         5   20  4.0   15  3.0    4  0.8
R. Wolkowyski    3   13  4.3   10  3.3    1  0.3
David Wood       3    3  1.0    6  2.0    0  0.0
Loren Woods      2    0  0.0    4  2.0    0  0.0
Qyntel Woods     7   19  2.7   13  1.9    3  0.4
H. Workman       3    7  2.3    2  0.7    4  1.3
Lorenzen Wright 22  174  7.9  154  7.0   18  0.8
Sharone Wright   4   46 11.5   20  5.0    3  0.8
V. Yarbrough     3   20  6.7   18  6.0    9  3.0
Wang Zhizhi      3   15  5.0    7  2.3    2  0.7
George Zidek     2    6  3.0    2  1.0    0  0.0
Team Totals      8    0  0.0    0  0.0    0  0.0
Mavs Totals      8    0  0.0    0  0.0    0  0.0

