

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  PTS  AVG  REB  AVG  AST  AVG
Antonio Davis   14  154 11.0  135  9.6   16  1.1
Baron Davis      9  115 12.8   32  3.6   47  5.2
Ben Davis        3    2  0.7    3  1.0    0  0.0
Dale Davis      23  186  8.1  161  7.0   17  0.7
Emanual Davis    8   51  6.4   17  2.1   12  1.5
Hubert Davis     5   35  7.0    6  1.2    9  1.8
Josh Davis       1    5  5.0    2  2.0    0  0.0
Mark Davis       8   26  3.2   24  3.0    6  0.8
Ricky Davis      7   69  9.9   31  4.4   23  3.3
Terry Davis      3    4  1.3   18  6.0    0  0.0
Todd Day         7   71 10.1   17  2.4   12  1.7
Andrew DeClercq 15   78  5.2   73  4.9   10  0.7
Terry Dehere    13   72  5.5   19  1.5   23  1.8
Vinny Del_Negro 15  141  9.4   47  3.1   45  3.0
Bison Dele       1   13 13.0    9  9.0    2  2.0
Tony Delk       16  211 13.2   40  2.5   37  2.3
Dell Demps       2    4  2.0    0  0.0    0  0.0
Derrick Dial     3    5  1.7    8  2.7    2  0.7
Boris Diaw       2   25 12.5   13  6.5    7  3.5
Dan Dickau       4   22  5.5    3  0.8   15  3.8
Kaniel Dickens   1    2  2.0    0  0.0    0  0.0
M. Dickerson    15  179 11.9   44  2.9   25  1.7
DeSagana Diop    4    4  1.0    5  1.2    0  0.0
Vlade Divac     31  405 13.1  278  9.0  106  3.4
Juan Dixon       3   33 11.0    7  2.3    4  1.3
Michael Doleac   9   46  5.1   38  4.2    5  0.6
Keyon Dooling   11   79  7.2   13  1.2   37  3.4
Sherman Douglas  8   63  7.9   20  2.5   41  5.1
Bryce Drew      12   69  5.8   19  1.6   27  2.2
Clyde Drexler    7  129 18.4   55  7.9   45  6.4
P. Drobnjak     10   72  7.2   31  3.1    4  0.4
Kevin Duckworth  2   15  7.5    9  4.5    7  3.5
Chris Dudley    15   36  2.4   75  5.0    9  0.6
Joe Dumars       7   83 11.9   16  2.3   31  4.4
Richard Dumas    1    3  3.0    1  1.0    1  1.0
Tony Dumas       1    0  0.0    0  0.0    0  0.0
Tim Duncan      25  580 23.2  322 12.9   85  3.4
Mike Dunleavy    7   83 11.9   26  3.7   21  3.0
Ronald Dupree    1    7  7.0    5  5.0    3  3.0
Ledell Eackles   2   13  6.5    3  1.5    0  0.0
Tyus Edney      10   79  7.9   24  2.4   39  3.9
Blue Edwards    10   97  9.7   44  4.4   31  3.1
Doug Edwards     1    2  2.0    2  2.0    2  2.0
Kevin Edwards    4   43 10.8   10  2.5    8  2.0
Craig Ehlo       5   18  3.6   19  3.8    7  1.4
Howard Eisley   24  135  5.6   42  1.8   83  3.5
Obinna Ekezie    3    8  2.7   14  4.7    0  0.0
Khalid El-Amin   2   36 18.0    6  3.0   11  5.5
Mario Elie      18  150  8.3   79  4.4   52  2.9
Sean Elliott    17  219 12.9   64  3.8   48  2.8
Dale Ellis      14  191 13.6   37  2.6   27  1.9
Harold Ellis     2   14  7.0    6  3.0    2  1.0
LaPhonso Ellis  18  197 10.9  149  8.3   38  2.1
LaRon Ellis      1    4  4.0    1  1.0    0  0.0
Pervis Ellison   3   16  5.3   13  4.3    3  1.0
Francisco Elson  4   17  4.2   17  4.2    0  0.0
Melvin Ely       3    4  1.3    3  1.0    2  0.7
Evan Eschmeyer   3   17  5.7    9  3.0    1  0.3
V. Esposito      1    2  2.0    0  0.0    0  0.0
Brian Evans      2   29 14.5   10  5.0    5  2.5
Reggie Evans     6   38  6.3   39  6.5    2  0.3
Patrick Ewing   11  177 16.1  102  9.3   10  0.9
Tony Farmer      6   32  5.3   17  2.8    3  0.5
Jamie Feick      4   12  3.0   20  5.0    5  1.2
Duane Ferrell    7   16  2.3   13  1.9    4  0.6
Danny Ferry     17  125  7.4   62  3.6   14  0.8
Michael Finley   4   74 18.5   27  6.8   28  7.0
Matt Fish        1    4  4.0    3  3.0    1  1.0
Derek Fisher    26  255  9.8   86  3.3  102  3.9
Marcus Fizer     7   45  6.4   35  5.0    8  1.1
Vern Fleming     2   17  8.5    8  4.0    7  3.5
Alton Ford       2    4  2.0    6  3.0    1  0.5
Sherrell Ford    1    4  4.0    0  0.0    1  1.0
T.J. Ford        2   10  5.0    9  4.5   17  8.5
Joseph Forte     2    2  1.0    0  0.0    2  1.0
Danny Fortson   13  117  9.0  102  7.8   14  1.1
Greg Foster     16   65  4.1   50  3.1    8  0.5
Jeff Foster      7   39  5.6   59  8.4    8  1.1
Antonis Fotsis   2    0  0.0    4  2.0    0  0.0
T. Fowlkes       5   17  3.4   12  2.4    1  0.2
Rick Fox        27  299 11.1  140  5.2  108  4.0
Adonal Foyle    20   61  3.0   85  4.2    9  0.4
Richie Frahm     3   22  7.3    5  1.7    3  1.0
Steve Francis   19  368 19.4  124  6.5  116  6.1
Todd Fuller      7   11  1.6   20  2.9    0  0.0
L. Funderburke  15   99  6.6   42  2.8    5  0.3
Dan Gadzuric     3   14  4.7   16  5.3    0  0.0
Reece Gaines     1    2  2.0    0  0.0    0  0.0
Kevin Gamble     5   11  2.2    4  0.8    3  0.6
Ruben Garces     1    0  0.0    0  0.0    0  0.0
Chris Garner     2    0  0.0    0  0.0    1  0.5
Kevin Garnett   31  655 21.1  355 11.5  144  4.6
Dean Garrett    15   70  4.7   68  4.5   10  0.7
Pat Garrity     12   97  8.1   41  3.4    9  0.8
Pau Gasol       12  213 17.8   88  7.3   28  2.3
Chris Gatling   13  124  9.5   66  5.1   10  0.8
Kenny Gattison   3   25  8.3   18  6.0    2  0.7
Chris Gattling   1   31 31.0   10 10.0    2  2.0
Andrew Gaze      2    2  1.0    0  0.0    0  0.0
Reggie Geary     3   10  3.3    5  1.7    3  1.0
Matt Geiger      8   69  8.6   66  8.2    4  0.5
Devean George   17  109  6.4   47  2.8   12  0.7
Eddie Gill       2   16  8.0    2  1.0    4  2.0
Kendall Gill    15  187 12.5   51  3.4   36  2.4
Armon Gilliam    8  125 15.6   60  7.5   14  1.8
E. Ginobili      7   80 11.4   24  3.4   23  3.3
Gordan Giricek   6  103 17.2   29  4.8   19  3.2
Dion Glover      8   40  5.0   26  3.2    9  1.1
A. Goldwire      7   83 11.9   15  2.1   35  5.0
Drew Gooden      7   80 11.4   46  6.6    9  1.3
Greg Graham      3    3  1.0    1  0.3    1  0.3
R. Grandison     2   10  5.0    4  2.0    2  1.0
Brian Grant     23  287 12.5  222  9.7   38  1.7
Gary Grant       5   24  4.8   10  2.0   18  3.6
Greg Grant       2    7  3.5    4  2.0   14  7.0
Harvey Grant     8   39  4.9   47  5.9    1  0.1
Horace Grant    19  159  8.4  138  7.3   31  1.6
Paul Grant       1    2  2.0    1  1.0    1  1.0
Devin Gray       1    2  2.0    2  2.0    0  0.0
Ed Gray          2   21 10.5    6  3.0    2  1.0
Jeff Grayer      2    6  3.0    3  1.5    4  2.0
A.C. Green      10   73  7.3   67  6.7   11  1.1
Litterial Green  1    0  0.0    0  0.0    0  0.0
Willie Green     1   19 19.0    2  2.0    3  3.0
Adrian Griffin   5    8  1.6   14  2.8    9  1.8
Eddie Griffin    7   68  9.7   46  6.6   12  1.7
Tom Gugliotta   24  315 13.1  195  8.1   61  2.5
Marcus Haislip   1    2  2.0    3  3.0    0  0.0
Darvin Ham      12   43  3.6   63  5.2    8  0.7
R. Hamilton      9  155 17.2   25  2.8   32  3.6
Thomas Hamilton  1    6  6.0    4  4.0    1  1.0
Zendon Hamilton  5   10  2.0   13  2.6    0  0.0
Geert Hammink    1    0  0.0    1  1.0    0  0.0
Tom Hammonds    18  121  6.7   65  3.6   14  0.8
Darrin Hancock   3    4  1.3    2  0.7    1  0.3
Ben Handlogten   1   10 10.0    6  6.0    1  1.0
Travis Hansen    1    2  2.0    1  1.0    0  0.0
A. Hardaway     17  227 13.4   89  5.2   84  4.9
Tim Hardaway    13  237 18.2   27  2.1   85  6.5
Derek Harper     7   80 11.4   16  2.3   22  3.1
Ron Harper      12  100  8.3   61  5.1   25  2.1
Matt Harpring    9  123 13.7   51  5.7   18  2.0
Adam Harrington  1    4  4.0    1  1.0    0  0.0
Al Harrington    8  105 13.1   48  6.0   11  1.4
J. Harrington    4   15  3.8   13  3.2   14  3.5
O. Harrington   19  211 11.1  118  6.2   13  0.7
Lucious Harris  15  136  9.1   41  2.7   27  1.8
Jason Hart       3    7  2.3    6  2.0    2  0.7
Anthony Harvey   2   10  5.0   11  5.5    0  0.0
Antonio Harvey   2    3  1.5    6  3.0    0  0.0
Donnell Harvey   9   64  7.1   57  6.3    8  0.9
Udonis Haslem    2   29 14.5   17  8.5    1  0.5
Trenton Hassell  8   56  7.0   27  3.4   21  2.6
Hersey Hawkins  19  187  9.8   74  3.9   38  2.0
Juaquin Hawkins  4    4  1.0    6  1.5    2  0.5
Michael Hawkins  3    0  0.0    0  0.0    3  1.0
Jarvis Hayes     2   21 10.5    6  3.0    2  1.0
Brendan Haywood  5   32  6.4   31  6.2    2  0.4
Shane Heal       3    3  1.0    2  0.7    3  1.0
Alan Henderson  11  103  9.4   66  6.0    9  0.8
C. Henderson     7   60  8.6   24  3.4    7  1.0
J.R. Henderson   1    4  4.0    2  2.0    1  1.0
M. Hendrickson   2    8  4.0   10  5.0    2  1.0
Chris Herren     4   22  5.5    7  1.8   16  4.0
Carl Herrera     8   28  3.5   13  1.6    2  0.2
Sean Higgins     2   16  8.0    4  2.0    5  2.5
Nene Hilario     7   88 12.6   39  5.6   16  2.3
Grant Hill       7  140 20.0   70 10.0   46  6.6
Tyrone Hill      9   83  9.2   79  8.8   10  1.1
Kirk Hinrich     2   23 11.5   14  7.0    7  3.5
Fred Hoiberg    13   66  5.1   33  2.5   27  2.1
J. Honeycutt     1    0  0.0    3  3.0    0  0.0
Jeff Hornacek   18  234 13.0   60  3.3   82  4.6
Robert Horry    28  222  7.9  169  6.0   96  3.4
Eddie House      4   26  6.5   11  2.8    6  1.5
Allan Houston   15  265 17.7   53  3.5   42  2.8
Juwan Howard    16  308 19.2  138  8.6   47  2.9
Stephen Howard   3   10  3.3   10  3.3    2  0.7
Troy Hudson     11  124 11.3   22  2.0   60  5.5
Larry Hughes     9  104 11.6   37  4.1   26  2.9
Ryan Humphrey    1    0  0.0    3  3.0    1  1.0
Brandon Hunter   1    2  2.0    0  0.0    0  0.0
Lindsey Hunter  16  134  8.4   58  3.6   35  2.2
Steven Hunter    2   14  7.0   11  5.5    0  0.0
Bobby Hurley     8   21  2.6    9  1.1   28  3.5
Z. Ilgauskas     8  143 17.9   66  8.2    8  1.0
Allen Iverson   12  335 27.9   51  4.2   69  5.8
Bobby Jackson   23  260 11.3   88  3.8   74  3.2
J. Jackson       2    6  3.0    5  2.5    6  3.0
Jaren Jackson   14  123  8.8   30  2.1   23  1.6
Jim Jackson     19  250 13.2   95  5.0   57  3.0
Marc Jackson     8   68  8.5   39  4.9    7  0.9
Mark Jackson    21  153  7.3   76  3.6  139  6.6
Stephen Jackson  7  125 17.9   38  5.4   16  2.3
Casey Jacobsen   8   50  6.2   11  1.4   10  1.2
Sam Jacobson     3   23  7.7    3  1.0    1  0.3
Henry James      1    6  6.0    1  1.0    0  0.0
Jerome James     4   14  3.5   11  2.8    0  0.0
LeBron James     2   44 22.0    9  4.5   15  7.5
Mike James       4   41 10.2    5  1.2   14  3.5
Antawn Jamison  19  378 19.9  167  8.8   29  1.5
Harold Jamison   3    0  0.0    2  0.7    0  0.0
Marko Jaric      5   25  5.0   18  3.6   28  5.6
Chris Jefferies  2    0  0.0    1  0.5    0  0.0
R. Jefferson     6   75 12.5   35  5.8   17  2.8
Jared Jeffries   2   10  5.0    9  4.5    4  2.0
Britton Johnsen  1    4  4.0    3  3.0    2  2.0
Anthony Johnson 10   78  7.8   24  2.4   36  3.6
Avery Johnson   29  286  9.9   65  2.2  186  6.4
DeMarco Johnson  1    4  4.0    3  3.0    0  0.0
DerMarr Johnson  5   40  8.0   21  4.2    7  1.4
Eddie Johnson    8   77  9.6   16  2.0   10  1.2
Ervin Johnson   20  134  6.7  146  7.3    8  0.4
Joe Johnson     10  156 15.6   51  5.1   38  3.8
Kevin Johnson    8  132 16.5   29  3.6   78  9.8
Larry Johnson    7   89 12.7   43  6.1   32  4.6
Magic Johnson    1   30 30.0    8  8.0   11 11.0
Charles Jones    5   13  2.6    9  1.8    6  1.2
Dahntay Jones    1    0  0.0    1  1.0    0  0.0
Damon Jones     11   32  2.9   17  1.5   29  2.6
Eddie Jones     18  293 16.3   76  4.2   69  3.8
Fred Jones       2    8  4.0    6  3.0    4  2.0
Jumaine Jones    9   65  7.2   39  4.3   12  1.3
Popeye Jones     9   48  5.3   41  4.6    7  0.8
Michael Jordan  10  265 26.5   65  6.5   39  3.9
Reggie Jordan   10   37  3.7   33  3.3   14  1.4
Chris Kaman      4   10  2.5    3  0.8    0  0.0
Jason Kapono     1    0  0.0    0  0.0    0  0.0
Adam Keefe      21   97  4.6   93  4.4   16  0.8
Shawn Kemp      21  260 12.4  163  7.8   27  1.3
Jonathen Kerner  1    0  0.0    0  0.0    0  0.0
Steve Kerr      20  133  6.7   22  1.1   29  1.5
Jerome Kersey   17   82  4.8   56  3.3   22  1.3
Randolph Keys    1    4  4.0    0  0.0    2  2.0
Jason Kidd      24  384 16.0  179  7.5  238  9.9
Chris King       6   35  5.8   26  4.3    8  1.3
Frankie King     1    2  2.0    0  0.0    0  0.0
Gerard King      4   19  4.8    7  1.8    3  0.8
Jimmy King       2    9  4.5    3  1.5    1  0.5
A. Kirilenko    12  182 15.2   82  6.8   20  1.7
Kerry Kittles   13  139 10.7   55  4.2   35  2.7
Joe Kleine       6   19  3.2   12  2.0    1  0.2
Brevin Knight   11   94  8.5   36  3.3   68  6.2
Travis Knight   15   58  3.9   57  3.8   17  1.1
Jon Koncak       1    5  5.0   10 10.0    0  0.0
Kyle Korver      2   23 11.5    3  1.5    1  0.5
Toni Kukoc      14  195 13.9   75  5.4   54  3.9
Raef LaFrentz   12  142 11.8   79  6.6    8  0.7
